mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population,year_mm,cityname
53394519,13,13101,2019,1,0,0,13533,2019/01,chiyoda
53394519,13,13101,2019,1,0,1,5818,2019/01,chiyoda
53394519,13,13101,2019,1,0,2,8804,2019/01,chiyoda
53394519,13,13101,2019,1,1,0,63530,2019/01,chiyoda
53394519,13,13101,2019,1,1,1,9382,2019/01,chiyoda
53394519,13,13101,2019,1,1,2,34246,2019/01,chiyoda
53394519,13,13101,2019,1,2,0,47402,2019/01,chiyoda
53394519,13,13101,2019,1,2,1,8232,2019/01,chiyoda
53394519,13,13101,2019,1,2,2,26039,2019/01,chiyoda
53393671,13,13102,2019,1,0,0,333,2019/01,chuou
53393671,13,13102,2019,1,0,1,116,2019/01,chuou
53393671,13,13102,2019,1,0,2,198,2019/01,chuou
53393671,13,13102,2019,1,1,0,655,2019/01,chuou
53393671,13,13102,2019,1,1,1,78,2019/01,chuou
53393671,13,13102,2019,1,1,2,333,2019/01,chuou
53393671,13,13102,2019,1,2,0,551,2019/01,chuou
53393671,13,13102,2019,1,2,1,90,2019/01,chuou
53393671,13,13102,2019,1,2,2,289,2019/01,chuou
53393558,13,13103,2019,1,0,0,34341,2019/01,minato
53393558,13,13103,2019,1,0,1,29433,2019/01,minato
53393558,13,13103,2019,1,0,2,31486,2019/01,minato
53393558,13,13103,2019,1,1,0,52745,2019/01,minato
53393558,13,13103,2019,1,1,1,28175,2019/01,minato
53393558,13,13103,2019,1,1,2,40249,2019/01,minato
53393558,13,13103,2019,1,2,0,46808,2019/01,minato
53393558,13,13103,2019,1,2,1,28581,2019/01,minato
53393558,13,13103,2019,1,2,2,37423,2019/01,minato
53394517,13,13104,2019,1,0,0,15239,2019/01,shinjuku
53394517,13,13104,2019,1,0,1,5703,2019/01,shinjuku
53394517,13,13104,2019,1,0,2,9790,2019/01,shinjuku
53394517,13,13104,2019,1,1,0,26581,2019/01,shinjuku
53394517,13,13104,2019,1,1,1,6752,2019/01,shinjuku
53394517,13,13104,2019,1,1,2,16564,2019/01,shinjuku
53394517,13,13104,2019,1,2,0,22922,2019/01,shinjuku
53394517,13,13104,2019,1,2,1,6414,2019/01,shinjuku
53394517,13,13104,2019,1,2,2,14379,2019/01,shinjuku
53394558,13,13105,2019,1,0,0,18334,2019/01,bunkyo
53394558,13,13105,2019,1,0,1,16778,2019/01,bunkyo
53394558,13,13105,2019,1,0,2,17278,2019/01,bunkyo
53394558,13,13105,2019,1,1,0,26890,2019/01,bunkyo
53394558,13,13105,2019,1,1,1,17335,2019/01,bunkyo
53394558,13,13105,2019,1,1,2,21952,2019/01,bunkyo
53394558,13,13105,2019,1,2,0,24130,2019/01,bunkyo
53394558,13,13105,2019,1,2,1,17155,2019/01,bunkyo
53394558,13,13105,2019,1,2,2,20444,2019/01,bunkyo
53394642,13,13106,2019,1,0,0,35167,2019/01,taito
53394642,13,13106,2019,1,0,1,32234,2019/01,taito
53394642,13,13106,2019,1,0,2,33394,2019/01,taito
53394642,13,13106,2019,1,1,0,70982,2019/01,taito
53394642,13,13106,2019,1,1,1,34916,2019/01,taito
53394642,13,13106,2019,1,1,2,51754,2019/01,taito
53394642,13,13106,2019,1,2,0,59429,2019/01,taito
53394642,13,13106,2019,1,2,1,34051,2019/01,taito
53394642,13,13106,2019,1,2,2,45832,2019/01,taito
53394519,13,13101,2019,2,0,0,16280,2019/02,chiyoda
53394519,13,13101,2019,2,0,1,6496,2019/02,chiyoda
53394519,13,13101,2019,2,0,2,10575,2019/02,chiyoda
53394519,13,13101,2019,2,1,0,72551,2019/02,chiyoda
53394519,13,13101,2019,2,1,1,10275,2019/02,chiyoda
53394519,13,13101,2019,2,1,2,39022,2019/02,chiyoda
53394519,13,13101,2019,2,2,0,54464,2019/02,chiyoda
53394519,13,13101,2019,2,2,1,9060,2019/02,chiyoda
53394519,13,13101,2019,2,2,2,29878,2019/02,chiyoda
53393671,13,13102,2019,2,0,0,370,2019/02,chuou
53393671,13,13102,2019,2,0,1,81,2019/02,chuou
53393671,13,13102,2019,2,0,2,228,2019/02,chuou
53393671,13,13102,2019,2,1,0,818,2019/02,chuou
53393671,13,13102,2019,2,1,1,57,2019/02,chuou
53393671,13,13102,2019,2,1,2,407,2019/02,chuou
53393671,13,13102,2019,2,2,0,674,2019/02,chuou
53393671,13,13102,2019,2,2,1,65,2019/02,chuou
53393671,13,13102,2019,2,2,2,349,2019/02,chuou
53393558,13,13103,2019,2,0,0,38024,2019/02,minato
53393558,13,13103,2019,2,0,1,34446,2019/02,minato
53393558,13,13103,2019,2,0,2,35471,2019/02,minato
53393558,13,13103,2019,2,1,0,57608,2019/02,minato
53393558,13,13103,2019,2,1,1,31145,2019/02,minato
53393558,13,13103,2019,2,1,2,44348,2019/02,minato
53393558,13,13103,2019,2,2,0,51313,2019/02,minato
53393558,13,13103,2019,2,2,1,32206,2019/02,minato
53393558,13,13103,2019,2,2,2,41495,2019/02,minato
53394517,13,13104,2019,2,0,0,15303,2019/02,shinjuku
53394517,13,13104,2019,2,0,1,5930,2019/02,shinjuku
53394517,13,13104,2019,2,0,2,10096,2019/02,shinjuku
53394517,13,13104,2019,2,1,0,28384,2019/02,shinjuku
53394517,13,13104,2019,2,1,1,7382,2019/02,shinjuku
53394517,13,13104,2019,2,1,2,17902,2019/02,shinjuku
53394517,13,13104,2019,2,2,0,24179,2019/02,shinjuku
53394517,13,13104,2019,2,2,1,6915,2019/02,shinjuku
53394517,13,13104,2019,2,2,2,15393,2019/02,shinjuku
53394558,13,13105,2019,2,0,0,20677,2019/02,bunkyo
53394558,13,13105,2019,2,0,1,17781,2019/02,bunkyo
53394558,13,13105,2019,2,0,2,18755,2019/02,bunkyo
53394558,13,13105,2019,2,1,0,28697,2019/02,bunkyo
53394558,13,13105,2019,2,1,1,18309,2019/02,bunkyo
53394558,13,13105,2019,2,1,2,23298,2019/02,bunkyo
53394558,13,13105,2019,2,2,0,26119,2019/02,bunkyo
53394558,13,13105,2019,2,2,1,18139,2019/02,bunkyo
53394558,13,13105,2019,2,2,2,21838,2019/02,bunkyo
53394642,13,13106,2019,2,0,0,36091,2019/02,taito
53394642,13,13106,2019,2,0,1,33336,2019/02,taito
53394642,13,13106,2019,2,0,2,33978,2019/02,taito
53394642,13,13106,2019,2,1,0,77921,2019/02,taito
53394642,13,13106,2019,2,1,1,36223,2019/02,taito
53394642,13,13106,2019,2,1,2,55751,2019/02,taito
53394642,13,13106,2019,2,2,0,64476,2019/02,taito
53394642,13,13106,2019,2,2,1,35295,2019/02,taito
53394642,13,13106,2019,2,2,2,48753,2019/02,taito
53394519,13,13101,2019,3,0,0,14303,2019/03,chiyoda
53394519,13,13101,2019,3,0,1,5935,2019/03,chiyoda
53394519,13,13101,2019,3,0,2,9595,2019/03,chiyoda
53394519,13,13101,2019,3,1,0,69852,2019/03,chiyoda
53394519,13,13101,2019,3,1,1,9666,2019/03,chiyoda
53394519,13,13101,2019,3,1,2,38114,2019/03,chiyoda
53394519,13,13101,2019,3,2,0,50141,2019/03,chiyoda
53394519,13,13101,2019,3,2,1,8342,2019/03,chiyoda
53394519,13,13101,2019,3,2,2,27994,2019/03,chiyoda
53393671,13,13102,2019,3,0,0,630,2019/03,chuou
53393671,13,13102,2019,3,0,1,226,2019/03,chuou
53393671,13,13102,2019,3,0,2,433,2019/03,chuou
53393671,13,13102,2019,3,1,0,934,2019/03,chuou
53393671,13,13102,2019,3,1,1,99,2019/03,chuou
53393671,13,13102,2019,3,1,2,485,2019/03,chuou
53393671,13,13102,2019,3,2,0,826,2019/03,chuou
53393671,13,13102,2019,3,2,1,144,2019/03,chuou
53393671,13,13102,2019,3,2,2,466,2019/03,chuou
53393558,13,13103,2019,3,0,0,38268,2019/03,minato
53393558,13,13103,2019,3,0,1,32248,2019/03,minato
53393558,13,13103,2019,3,0,2,34371,2019/03,minato
53393558,13,13103,2019,3,1,0,55701,2019/03,minato
53393558,13,13103,2019,3,1,1,28840,2019/03,minato
53393558,13,13103,2019,3,1,2,42343,2019/03,minato
53393558,13,13103,2019,3,2,0,49515,2019/03,minato
53393558,13,13103,2019,3,2,1,30049,2019/03,minato
53393558,13,13103,2019,3,2,2,39514,2019/03,minato
53394517,13,13104,2019,3,0,0,17220,2019/03,shinjuku
53394517,13,13104,2019,3,0,1,6104,2019/03,shinjuku
53394517,13,13104,2019,3,0,2,10704,2019/03,shinjuku
53394517,13,13104,2019,3,1,0,28417,2019/03,shinjuku
53394517,13,13104,2019,3,1,1,7242,2019/03,shinjuku
53394517,13,13104,2019,3,1,2,17836,2019/03,shinjuku
53394517,13,13104,2019,3,2,0,24444,2019/03,shinjuku
53394517,13,13104,2019,3,2,1,6838,2019/03,shinjuku
53394517,13,13104,2019,3,2,2,15305,2019/03,shinjuku
53394558,13,13105,2019,3,0,0,21985,2019/03,bunkyo
53394558,13,13105,2019,3,0,1,18693,2019/03,bunkyo
53394558,13,13105,2019,3,0,2,19732,2019/03,bunkyo
53394558,13,13105,2019,3,1,0,28106,2019/03,bunkyo
53394558,13,13105,2019,3,1,1,18866,2019/03,bunkyo
53394558,13,13105,2019,3,1,2,23482,2019/03,bunkyo
53394558,13,13105,2019,3,2,0,25934,2019/03,bunkyo
53394558,13,13105,2019,3,2,1,18804,2019/03,bunkyo
53394558,13,13105,2019,3,2,2,22152,2019/03,bunkyo
53394642,13,13106,2019,3,0,0,35819,2019/03,taito
